id,hostname,macaddress,ramUsage,cpuUtilization,systemIdleWindow,hddUtilization,networkStats,timestamp
1,sambhav@Ubuntu,08:00:27:66:a6:85,93.932434,7.892168,12478.519531,53.061222,Connected,2024-03-17 19:36:54
2,sambhav@Ubuntu,08:00:27:66:a6:85,93.645248,28.385818,367.589996,53.061222,Connected,2024-03-17 21:34:42
3,sambhav@Ubuntu,08:00:27:66:a6:85,94.183952,27.230841,391.589996,53.061222,Connected,2024-03-17 21:35:06
4,sambhav@Ubuntu,08:00:27:66:a6:85,93.468964,5.885220,2113.570068,53.061222,Connected,2024-03-17 22:03:48
5,sambhav@Ubuntu,08:00:27:66:a6:85,85.445679,8.633584,2407.560059,53.061222,Connected,2024-03-17 22:08:42
6,sambhav@Ubuntu,08:00:27:66:a6:85,85.563110,8.631790,2444.560059,53.061222,Connected,2024-03-17 22:09:20
7,08:00:27:66:a6:85,Ubuntu,88.926117,67.069206,53.061222,850.559998,Connected,2024-03-18 10:29:51
8,Ubuntu,08:00:27:66:a6:85,87.907555,46.284313,53.061222,3193.530029,Connected,2024-03-18 11:08:54
9,Ubuntu,08:00:27:66:a6:85,94.984421,45.646114,53.061222,3298.530029,Connected,2024-03-18 11:10:39
10,Ubuntu,08:00:27:66:a6:85,95.331207,45.278675,53.061222,3436.530029,Connected,2024-03-18 11:12:57
11,Ubuntu,08:00:27:66:a6:85,93.690598,43.301647,53.061222,3659.530029,Connected,2024-03-18 11:16:41
